InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Region,SpotPrice,Price,AvailabilityZone,GpuInfo
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-GA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-GA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-IL-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-KS-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-KS-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-NC-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-TX-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-TX-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-TX-3,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-TX-4,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
3x_RTX4000-Ada_SECURE,RTX4000-Ada,3.0,24.0,141.0,US,0.78,0.78,US-WA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 60}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-CA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-CA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-DE-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-GA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-GA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-IL-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-KS-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-KS-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-NC-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-TX-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-TX-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-TX-3,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-TX-4,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
4x_RTX4000-Ada_SECURE,RTX4000-Ada,4.0,32.0,188.0,US,1.04,1.04,US-WA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 80}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-CA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-CA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-DE-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-GA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-GA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-IL-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-KS-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-KS-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-NC-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-TX-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-TX-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-TX-3,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-TX-4,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
5x_RTX4000-Ada_SECURE,RTX4000-Ada,5.0,40.0,235.0,US,1.3,1.3,US-WA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 100}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-CA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-CA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-DE-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-GA-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-GA-2,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
6x_RTX4000-Ada_SECURE,RTX4000-Ada,6.0,48.0,282.0,US,1.56,1.56,US-IL-1,"{'Gpus': [{'Name': 'RTX 4000 Ada', 'Manufacturer': 'Nvidia', 'Count': 6, 'MemoryInfo': {'SizeInMiB': 20}}], 'TotalGpuMemoryInMiB': 120}"
